Passage,Week of entry,Number of crossings
Hormuz,2022-04-04,733
Hormuz,2022-04-11,696
Hormuz,2022-04-18,701
Hormuz,2022-04-25,672
Hormuz,2022-05-02,742
Hormuz,2022-05-09,516
Hormuz,2022-05-16,730
Hormuz,2022-05-23,653
Hormuz,2022-05-30,706
Hormuz,2022-06-06,690
Hormuz,2022-06-13,683
Hormuz,2022-06-20,643
Hormuz,2022-06-27,659
Hormuz,2022-07-04,600
Hormuz,2022-07-11,681
Hormuz,2022-07-18,599
Hormuz,2022-07-25,607
Hormuz,2022-08-01,702
Hormuz,2022-08-08,692
Hormuz,2022-08-15,742
Hormuz,2022-08-22,728
Hormuz,2022-08-29,722
Hormuz,2022-09-05,633
Hormuz,2022-09-12,710
Hormuz,2022-09-19,664
Hormuz,2022-09-26,545
Hormuz,2022-10-03,644
Hormuz,2022-10-10,703
Hormuz,2022-10-17,734
Hormuz,2022-10-24,725
Hormuz,2022-10-31,562
Hormuz,2022-11-07,598
Hormuz,2022-11-14,531
Hormuz,2022-11-21,488
Hormuz,2022-11-28,591
Hormuz,2022-12-05,511
Hormuz,2022-12-12,480
Hormuz,2022-12-19,475
Hormuz,2022-12-26,507
Hormuz,2023-01-02,498
Hormuz,2023-01-09,448
Hormuz,2023-01-16,502
Hormuz,2023-01-23,488
Hormuz,2023-01-30,480
Hormuz,2023-02-06,563
Hormuz,2023-02-13,558
Hormuz,2023-02-20,625
Hormuz,2023-02-27,546
Hormuz,2023-03-06,715
Hormuz,2023-03-13,652
Hormuz,2023-03-20,467
Hormuz,2023-03-27,579
Hormuz,2023-04-03,659
Hormuz,2023-04-10,687
Hormuz,2023-04-17,702
Hormuz,2023-04-24,594
Hormuz,2023-05-01,677
Hormuz,2023-05-08,753
Hormuz,2023-05-15,685
Hormuz,2023-05-22,753
Hormuz,2023-05-29,774
Hormuz,2023-06-05,744
Hormuz,2023-06-12,638
Hormuz,2023-06-19,759
Hormuz,2023-06-26,709
Hormuz,2023-07-03,746
Hormuz,2023-07-10,677
Hormuz,2023-07-17,678
Hormuz,2023-07-24,599
Hormuz,2023-07-31,736
Hormuz,2023-08-07,734
Hormuz,2023-08-14,708
Hormuz,2023-08-21,716
Hormuz,2023-08-28,654
Hormuz,2023-09-04,708
Hormuz,2023-09-11,672
Hormuz,2023-09-18,740
Hormuz,2023-09-25,753
Hormuz,2023-10-02,735
Hormuz,2023-10-09,774
Hormuz,2023-10-16,540
Hormuz,2023-10-23,503
Hormuz,2023-10-30,623
Hormuz,2023-11-06,533
Hormuz,2023-11-13,486
Hormuz,2023-11-20,399
Hormuz,2023-11-27,482
Hormuz,2023-12-04,508
Hormuz,2023-12-11,441
Hormuz,2023-12-18,413
Hormuz,2023-12-25,545
Hormuz,2024-01-01,463
Hormuz,2024-01-08,429
Hormuz,2024-01-15,500
Hormuz,2024-01-22,491
Hormuz,2024-01-29,438
Hormuz,2024-02-05,460
Hormuz,2024-02-12,454
Hormuz,2024-02-19,458
Hormuz,2024-02-26,449
Hormuz,2024-03-04,425
Hormuz,2024-03-11,577
Hormuz,2024-03-18,545
Hormuz,2024-03-25,460
Hormuz,2024-04-01,544
Suez,2022-01-03,381
Suez,2022-01-10,329
Suez,2022-01-17,341
Suez,2022-01-24,352
Suez,2022-01-31,371
Suez,2022-02-07,400
Suez,2022-02-14,331
Suez,2022-02-21,353
Suez,2022-02-28,380
Suez,2022-03-07,355
Suez,2022-03-14,363
Suez,2022-03-21,364
Suez,2022-03-28,374
Suez,2022-04-04,405
Suez,2022-04-11,377
Suez,2022-04-18,422
Suez,2022-04-25,389
Suez,2022-05-02,389
Suez,2022-05-09,297
Suez,2022-05-16,402
Suez,2022-05-23,365
Suez,2022-05-30,403
Suez,2022-06-06,405
Suez,2022-06-13,397
Suez,2022-06-20,397
Suez,2022-06-27,473
Suez,2022-07-04,412
Suez,2022-07-11,433
Suez,2022-07-18,397
Suez,2022-07-25,452
Suez,2022-08-01,445
Suez,2022-08-08,419
Suez,2022-08-15,410
Suez,2022-08-22,427
Suez,2022-08-29,442
Suez,2022-09-05,428
Suez,2022-09-12,428
Suez,2022-09-19,408
Suez,2022-09-26,433
Suez,2022-10-03,405
Suez,2022-10-10,387
Suez,2022-10-17,437
Suez,2022-10-24,420
Suez,2022-10-31,478
Suez,2022-11-07,411
Suez,2022-11-14,387
Suez,2022-11-21,425
Suez,2022-11-28,460
Suez,2022-12-05,463
Suez,2022-12-12,417
Suez,2022-12-19,431
Suez,2022-12-26,429
Suez,2023-01-02,443
Suez,2023-01-09,431
Suez,2023-01-16,426
Suez,2023-01-23,427
Suez,2023-01-30,436
Suez,2023-02-06,410
Suez,2023-02-13,322
Suez,2023-02-20,423
Suez,2023-02-27,396
Suez,2023-03-06,469
Suez,2023-03-13,457
Suez,2023-03-20,432
Suez,2023-03-27,441
Suez,2023-04-03,475
Suez,2023-04-10,463
Suez,2023-04-17,485
Suez,2023-04-24,489
Suez,2023-05-01,481
Suez,2023-05-08,439
Suez,2023-05-15,514
Suez,2023-05-22,469
Suez,2023-05-29,447
Suez,2023-06-05,438
Suez,2023-06-12,438
Suez,2023-06-19,475
Suez,2023-06-26,463
Suez,2023-07-03,400
Suez,2023-07-10,445
Suez,2023-07-17,437
Suez,2023-07-24,410
Suez,2023-07-31,404
Suez,2023-08-07,401
Suez,2023-08-14,444
Suez,2023-08-21,404
Suez,2023-08-28,420
Suez,2023-09-04,423
Suez,2023-09-11,391
Suez,2023-09-18,388
Suez,2023-09-25,453
Suez,2023-10-02,456
Suez,2023-10-09,475
