Passage,Week of entry,Number of crossings
Taiwan Strait,21/03/2022,1017
Taiwan Strait,28/03/2022,1230
Taiwan Strait,04/04/2022,1447
Taiwan Strait,11/04/2022,1141
Taiwan Strait,18/04/2022,1081
Taiwan Strait,25/04/2022,1114
Taiwan Strait,02/05/2022,1326
Taiwan Strait,09/05/2022,917
Taiwan Strait,16/05/2022,1228
Taiwan Strait,23/05/2022,1246
Taiwan Strait,30/05/2022,1398
Taiwan Strait,06/06/2022,1301
Taiwan Strait,13/06/2022,1264
Taiwan Strait,20/06/2022,1287
Taiwan Strait,27/06/2022,1289
Taiwan Strait,04/07/2022,1322
Taiwan Strait,11/07/2022,1323
Taiwan Strait,18/07/2022,1364
Taiwan Strait,25/07/2022,1438
Taiwan Strait,01/08/2022,1291
Taiwan Strait,08/08/2022,1305
Taiwan Strait,15/08/2022,1311
Taiwan Strait,22/08/2022,1229
Taiwan Strait,29/08/2022,1496
Taiwan Strait,05/09/2022,1462
Taiwan Strait,12/09/2022,1307
Taiwan Strait,19/09/2022,1163
Taiwan Strait,26/09/2022,1252
Taiwan Strait,03/10/2022,1151
Taiwan Strait,10/10/2022,1030
Taiwan Strait,17/10/2022,1083
Taiwan Strait,24/10/2022,1092
Taiwan Strait,31/10/2022,1184
Taiwan Strait,07/11/2022,1255
Taiwan Strait,14/11/2022,1167
Taiwan Strait,21/11/2022,1285
Taiwan Strait,28/11/2022,1154
Taiwan Strait,05/12/2022,1196
Taiwan Strait,12/12/2022,1200
Taiwan Strait,19/12/2022,1094
Taiwan Strait,26/12/2022,1165
Taiwan Strait,02/01/2023,1229
Taiwan Strait,09/01/2023,1150
Taiwan Strait,16/01/2023,1072
Taiwan Strait,23/01/2023,1016
Taiwan Strait,30/01/2023,1125
Taiwan Strait,06/02/2023,1261
Taiwan Strait,13/02/2023,1207
Taiwan Strait,20/02/2023,1097
Taiwan Strait,27/02/2023,1297
Taiwan Strait,06/03/2023,1392
Taiwan Strait,13/03/2023,1301
Taiwan Strait,20/03/2023,1248
Taiwan Strait,27/03/2023,1326
Taiwan Strait,03/04/2023,1284
Taiwan Strait,10/04/2023,1378
Taiwan Strait,17/04/2023,1266
Taiwan Strait,24/04/2023,1274
Taiwan Strait,01/05/2023,1365
Taiwan Strait,08/05/2023,1314
Taiwan Strait,15/05/2023,1065
Taiwan Strait,22/05/2023,1389
Taiwan Strait,29/05/2023,1541
Taiwan Strait,05/06/2023,1326
Taiwan Strait,12/06/2023,1285
Taiwan Strait,19/06/2023,1247
Taiwan Strait,26/06/2023,1270
Taiwan Strait,03/07/2023,1252
